==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
    230.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    231.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    232.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    233.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    234.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    235.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    236.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    237.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    238.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    239.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    240.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    241.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    242.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    243.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    244.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    245.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    246.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    247.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    248.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    249.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    250.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    251.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    252.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    253.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    254.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    255.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    256.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    257.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    258.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    259.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    260.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    261.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    262.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    263.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
